User ID,Allocation Status,Slice,Ground Truth,Intent Correct,CQI,Bandwidth (MHz),Rate (Mbps),Latency (ms),Adjustments Made,eMBB Total Rate Before (Mbps),eMBB Total Rate After (Mbps),URLLC Total Rate Before (Mbps),URLLC Total Rate After (Mbps),mMTC Total Rate Before (Mbps),mMTC Total Rate After (Mbps),Avg Resource Util Before (%),Avg Resource Util After (%),Token Used,Prompt Tokens,Completion Tokens,LLM Calls,Request
1,Success,eMBB,eMBB,Yes,8,20,172.78,40,No,0,172.78,0,0,0,0,0,15.38,15949,12592,3357,5,I want to use augmented reality navigation
2,Success,URLLC,URLLC,Yes,5,1,6.19,5,No,172.78,172.78,0,6.19,0,0,15.38,16.15,30902,23874,7028,10,I need immediate machine shutdown capability for safety incidents
3,Success,URLLC,URLLC,Yes,11,1,11.33,5,No,172.78,172.78,6.19,17.52,0,0,16.15,16.92,45881,35583,10298,15,I need to balance electrical load in real-time across microgrids
4,Success,mMTC,mMTC,Yes,8,0.9,7.78,1000,No,172.78,172.78,17.52,17.52,0,7.78,16.92,17.62,60925,47418,13507,20,I need to check the status of city-wide smart streetlights
5,Success,URLLC,URLLC,Yes,14,5,70.85,1,No,172.78,172.78,17.52,88.37,7.78,7.78,17.62,21.46,75840,58822,17018,25,I want to use remote surgery equipment
6,Success,mMTC,mMTC,Yes,7,2.9,22.59,500,No,172.78,172.78,88.37,88.37,7.78,30.37,21.46,23.69,91507,70823,20684,30,My smart parking sensor needs to report if the spot is free
7,Success,URLLC,URLLC,Yes,6,5,34.87,5,No,172.78,172.78,88.37,123.24,30.37,30.37,23.69,27.54,106251,82291,23960,35,I need immediate machine shutdown capability for safety incidents
8,Success,URLLC,URLLC,Yes,8,1,8.64,5,No,172.78,172.78,123.24,131.88,30.37,30.37,27.54,28.31,120929,93700,27229,40,I need to transmit real-time patient vital signs during critical care
9,Success,mMTC,mMTC,Yes,7,2.9,22.59,1000,No,172.78,172.78,131.88,131.88,30.37,52.96,28.31,30.54,136550,105870,30680,45,A fleet of delivery drones needs to send low-rate telemetry data
10,Success,mMTC,mMTC,Yes,9,2.9,27.59,500,No,172.78,172.78,131.88,131.88,52.96,80.55,30.54,32.77,152127,117636,34491,50,A network of environmental sensors needs to report air quality
